Nome da UC,Categoria,CH – Total,Pré-Requisitos,Some Text
Processamento de Termofixos e Elastômeros,Eletiva,36,Materiais Poliméricos,Some Text
Processamento de Termoplásticos,Eletiva,72,Materiais Poliméricos,Some Text
Processos Estocásticos,Eletiva,72,Probabilidade,Some Text
Programação Concorrente e Distribuída,Eletiva,72,Sistemas Operacionais,Some Text
Programação Orientada a Objetos,Eletiva,72,Algoritmos e Estruturas de Dados I,Some Text
Programação Paralela e Processamento de Alto Desempenho,Eletiva,72,Programação Concorrente e Distribuída,Some Text
Projeto de Sistemas Digitais,Eletiva,72,Lógica de Programação; Arquitetura e Organização de Computadores,Some Text
Projeto e Análise de Algoritmos,Eletiva,72,Matemática Discreta; Algoritmos e Estruturas de Dados II,Some Text
Projeto Orientado a Objetos,Eletiva,72,Programação Orientada a Objetos,Some Text
Projetos em Engenharia de Computação,Eletiva,36,Não há,Some Text
Propriedades e Produtos Cerâmicos,Eletiva,72,Materiais Cerâmicos,Some Text
Proteômica,Eletiva,72,Bioquímica Analítica; Introdução à Bioinformática,Some Text
Qualidade,Eletiva,36,Probabilidade e Estatística,Some Text
Química Analítica,Eletiva,72,Química Geral; Química Geral Experimental,Some Text
Química Geral,Fixa,72,Não há,Some Text
Química Geral Experimental,Eletiva,72,Não há,Some Text
Química Inorgânica,Eletiva,72,Química Geral,Some Text
Química Medicinal I,Eletiva,72,Bioquímica I,Some Text
Química Medicinal II,Eletiva,72,Química Medicinal I,Some Text
Química Orgânica,Eletiva,72,Química Geral,Some Text
Química Orgânica Experimental,Eletiva,72,Química Geral; Química Geral Experimental,Some Text
Realidade Virtual e Aumentada,Eletiva,72,Algoritmos e Estruturas de Dados I,Some Text
Recuperação de Informação Multimídia,Eletiva,72,Algoritmos e Estruturas de Dados I,Some Text
Redes de Computadores,Eletiva,72,Programação Orientada a Objetos,Some Text
Relações Étnico-Raciais e Cultura Afro-Brasileira e Indígena,Eletiva,36,Não há,Some Text
Reologia dos Materiais,Eletiva,36,Materiais Poliméricos; Ciência e Tecnologia dos Materiais,Some Text
Resistência dos Materiais,Eletiva,72,Mecânica Geral,Some Text
Segurança Computacional,Eletiva,72,Sistemas Operacionais,Some Text
Seleção de Materiais,Interdisciplinar,36,Ciência e Tecnologia dos Materiais.,Some Text
Seminários Interdisciplinares,Eletiva,36,Não há,Some Text
Séries e Equações Diferenciais Ordinárias,Eletiva,72,Cálculo em Uma Variável,Some Text
Séries Temporais e Previsões,Interdisciplinar,72,Inferência e Análise de Regressão,Some Text
Simulação de Sistemas,Interdisciplinar,72,Lógica de Programação; Probabilidade,Some Text
Síntese de Polímeros,Eletiva,72,Química Orgânica,Some Text
Sistemas Distribuídos,Eletiva,72,Sistemas Operacionais,Some Text
Sistemas Embarcados,Eletiva,72,"AlgoritmoseEstruturasdeDadosI;ArquiteturaeOrganizaçãode
Computadores",Some Text
Sistemas Mecânicos,Eletiva,72,Mecânica Geral,Some Text
Sistemas Operacionais,Eletiva,72,Algoritmos e Estruturas de Dados I,Some Text
Sistemas Robóticos,Eletiva,72,Algoritmos e Estruturas de Dados I; Fenômenos Mecânicos,Some Text
Técnicas Experimentais,Eletiva,72,Ciência e Tecnologia dos Materiais,Some Text
Tecnologia e Meio Ambiente,Interdisciplinar,36,Não há,Some Text
Tecnologia em Tintas e Vernizes,Eletiva,36,Materiais Poliméricos,Some Text
Tecnologia Social: Práxis e Contra-Hegemonia,Interdisciplinar,36,Não há,Some Text
Tecnologias Assistivas,Eletiva,72,Anatomia; Fisiologia Humana,Some Text
Teoria das Finanças,Eletiva,36,Não há,Some Text
Teoria dos Grafos,Eletiva,72,Projeto e Análise de Algoritmos,Some Text
Teoria dos Números e Criptografia,Interdisciplinar,72,Matemática Discreta,Some Text
Teorias Administrativas,Eletiva,36,Não há,Some Text
Termodinâmica dos Sólidos,Eletiva,72,Química Geral,Some Text
Termodinâmica Química,Eletiva,72,Química Geral; Cálculo em Uma Variável,Some Text
Tópicos em Ciência e Tecnologia I,Interdisciplinar,36,Não há,Some Text
Tópicos em Ciência e Tecnologia II,Interdisciplinar,36,Não há,Some Text
Tópicos em Ciência e Tecnologia III,Interdisciplinar,36,Não há,Some Text
Tópicos em Ciência e Tecnologia IV,Interdisciplinar,36,Não há,Some Text
Tópicos em Fundamentos da Computação I,Eletiva,72,Algoritmos e Estruturas de Dados I,Some Text
Tópicos em Fundamentos da Computação II,Eletiva,72,Algoritmos e Estruturas de Dados I,Some Text
Tópicos em Matemática Computacional I,Eletiva,72,Não há,Some Text
Tópicos em Matemática Computacional II,Eletiva,72,Não há,Some Text
Tópicos em Tecnologia da Computação I,Eletiva,72,Algoritmos e Estruturas de Dados I,Some Text
Tópicos em Tecnologia da Computação II,Eletiva,72,Algoritmos e Estruturas de Dados I,Some Text
Tópicos Interdisciplinares em Computação I,Interdisciplinar,36,Lógica de Programação,Some Text
Tópicos Interdisciplinares em Computação II,Interdisciplinar,36,Lógica de Programação,Some Text
Tópicos Interdisciplinares em Computação III,Interdisciplinar,36,Algoritmos e Estrutura de Dados I,Some Text
Tópicos Interdisciplinares em Computação IV,Interdisciplinar,36,Algoritmos e Estrutura de Dados I,Some Text
Topologia Geral,Eletiva,72,Matemática Discreta,Some Text
Transdução de Grandezas Biomédicas,Eletiva,72,Circuitos Elétricos,Some Text
Tratamentos Térmicos,Eletiva,36,Materiais Metálicos,Some Text
Validação e Verificação de Software,Eletiva,72,Engenharia de Software,Some Text
"Vidros, Vitrocerâmicos e Vidrados",Eletiva,72,Materiais Cerâmicos,Some Text
